iter	Passed	Remaining
0	2	1999
1	3	1825
2	5	1880
3	7	1824
4	8	1703
5	10	1694
6	12	1705
7	13	1629
8	14	1629
9	16	1642
10	17	1600
11	18	1563
12	20	1544
13	22	1565
14	23	1572
15	25	1544
16	26	1559
17	28	1531
18	29	1511
19	31	1527
20	32	1529
21	34	1536
22	36	1537
23	37	1545
24	39	1524
25	40	1533
26	42	1537
27	44	1543
28	46	1545
29	47	1548
30	49	1541
31	50	1542
32	52	1544
33	54	1549
34	56	1551
35	57	1550
36	59	1549
37	61	1556
38	62	1541
39	63	1521
40	64	1514
41	66	1517
42	68	1514
43	69	1516
44	71	1520
45	73	1524
46	75	1527
47	76	1524
48	78	1515
49	80	1523
50	81	1523
51	83	1530
52	85	1532
53	87	1530
54	89	1532
55	90	1533
56	92	1527
57	93	1519
58	95	1529
59	97	1528
60	99	1528
61	101	1533
62	103	1532
63	103	1520
64	104	1507
65	106	1510
66	108	1513
67	110	1514
68	112	1517
69	114	1519
70	115	1510
71	116	1500
72	117	1492
73	119	1491
74	121	1492
75	122	1484
76	123	1483
77	125	1481
78	127	1482
79	128	1476
80	130	1477
81	132	1477
82	133	1476
83	134	1468
84	136	1465
85	137	1456
86	138	1452
87	140	1452
88	141	1452
89	143	1454
90	145	1453
91	147	1453
92	148	1445
93	149	1445
94	151	1446
95	153	1446
96	155	1445
97	156	1443
98	158	1440
99	160	1441
100	161	1441
101	163	1440
102	165	1440
103	166	1432
104	168	1432
105	169	1432
106	171	1429
107	173	1429
108	174	1428
109	176	1428
110	178	1426
111	179	1426
112	181	1427
113	183	1425
114	184	1421
115	185	1413
116	187	1413
117	189	1413
118	190	1413
119	192	1411
120	194	1411
121	195	1410
122	197	1409
123	199	1408
124	200	1404
125	202	1404
126	203	1398
127	205	1398
128	207	1398
129	208	1397
130	210	1393
131	211	1391
132	213	1391
133	214	1385
134	216	1385
135	217	1380
136	219	1379
137	220	1379
138	222	1379
139	224	1379
140	226	1379
141	228	1379
142	229	1374
143	230	1372
144	231	1366
145	233	1366
146	234	1360
147	236	1360
148	237	1359
149	239	1359
150	241	1355
151	242	1354
152	244	1354
153	245	1350
154	247	1351
155	249	1351
156	251	1350
157	253	1350
158	255	1351
159	257	1350
160	259	1350
161	260	1348
162	262	1347
163	264	1347
164	266	1346
165	268	1348
166	271	1356
167	274	1358
168	275	1356
169	279	1362
170	281	1363
171	282	1362
172	284	1361
173	286	1360
174	288	1359
175	290	1357
176	291	1353
177	292	1352
178	294	1351
179	296	1351
180	298	1349
181	300	1349
182	302	1349
183	303	1343
184	304	1343
185	306	1342
186	308	1341
187	310	1340
188	311	1338
189	313	1337
190	315	1336
191	317	1335
192	319	1334
193	320	1331
194	322	1331
195	324	1330
196	325	1326
197	327	1325
198	329	1324
199	330	1321
200	332	1321
201	334	1320
202	336	1320
203	338	1319
204	339	1317
205	341	1317
206	343	1316
207	344	1312
208	346	1312
209	348	1311
210	350	1310
211	352	1309
212	354	1311
213	356	1311
214	358	1310
215	361	1310
216	363	1310
217	364	1309
218	366	1308
219	368	1307
220	370	1306
221	372	1305
222	374	1305
223	376	1304
224	378	1303
225	380	1302
226	382	1302
227	384	1301
228	386	1301
229	388	1301
230	390	1301
231	393	1301
232	395	1301
233	397	1300
234	398	1296
235	400	1295
236	402	1294
237	403	1293
238	405	1292
239	407	1290
240	409	1289
241	411	1288
242	413	1287
243	414	1285
244	416	1284
245	417	1280
246	419	1277
247	420	1275
248	422	1274
249	424	1273
250	426	1272
251	428	1272
252	430	1270
253	432	1269
254	434	1268
255	435	1266
256	437	1265
257	439	1263
258	440	1259
259	441	1257
260	443	1256
261	445	1254
262	447	1253
263	449	1251
264	450	1250
265	452	1249
266	454	1247
267	456	1246
268	458	1244
269	460	1243
270	462	1242
271	463	1240
272	465	1239
273	467	1239
274	469	1237
275	470	1235
276	472	1234
277	474	1232
278	476	1231
279	478	1230
280	480	1228
281	482	1227
282	484	1226
283	485	1224
284	487	1223
285	489	1221
286	491	1220
287	493	1219
288	494	1216
289	496	1214
290	498	1213
291	499	1212
292	501	1210
293	503	1208
294	505	1207
295	506	1205
296	508	1203
297	510	1202
298	512	1200
299	514	1199
300	515	1197
301	517	1196
302	519	1194
303	521	1193
304	522	1191
305	524	1189
306	526	1188
307	527	1185
308	529	1183
309	531	1182
310	532	1180
311	534	1178
312	536	1176
313	537	1173
314	539	1172
315	540	1170
316	542	1168
317	544	1167
318	545	1165
319	546	1162
320	548	1160
321	550	1159
322	552	1157
323	554	1156
324	555	1154
325	557	1152
326	559	1151
327	561	1149
328	562	1147
329	564	1146
330	566	1144
331	568	1143
332	569	1140
333	571	1138
334	573	1137
335	574	1135
336	576	1133
337	578	1132
338	579	1129
339	581	1128
340	583	1126
341	584	1125
342	586	1123
343	588	1121
344	589	1120
345	591	1118
346	593	1116
347	595	1115
348	597	1113
349	598	1112
350	600	1110
351	602	1108
352	604	1107
353	605	1105
354	607	1104
355	609	1102
356	611	1101
357	613	1099
358	615	1098
359	616	1096
360	618	1094
361	620	1093
362	621	1091
363	623	1089
364	624	1086
365	626	1085
366	627	1082
367	628	1079
368	630	1078
369	632	1076
370	634	1075
371	635	1073
372	637	1070
373	638	1069
374	640	1067
375	642	1065
376	643	1063
377	645	1061
378	646	1059
379	648	1058
380	650	1056
381	651	1054
382	653	1053
383	655	1050
384	656	1049
385	657	1046
386	659	1044
387	661	1043
388	663	1041
389	665	1040
390	666	1038
391	668	1036
392	670	1034
393	671	1033
394	673	1031
395	675	1030
396	677	1028
397	678	1026
398	680	1025
